TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1623336191000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,17;6,21;-20,83;-7,77
1623336192000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,15;6,18;-20,85;-7,8
1623336192000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,24;6,28;-20,76;-7,7
1623336192000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,19;6,22;-20,81;-7,75
1623336193000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,27;6,3;-20,73;-7,68
1623336193000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,29;6,32;-20,71;-7,66
1623336194000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,2;6,23;-20,8;-7,75
1623336194000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,21;6,24;-20,79;-7,74
1623336195000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,27;6,3;-20,73;-7,67
1623336195000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,21;6,24;-20,79;-7,74
1623336196000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,19;6,22;-20,81;-7,76
1623336196000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,27;6,3;-20,73;-7,68
1623336196000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,22;6,25;-20,78;-7,73
1623336197000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,18;6,22;-20,82;-7,76
1623336197000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,15;6,18;-20,85;-7,8
1623336198000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,25;6,29;-20,75;-7,69
1623336198000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,31;6,35;-20,69;-7,63
1623336199000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,35;6,39;-20,65;-7,59
1623336199000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,35;6,39;-20,65;-7,59
1623336200000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,44;6,47;-20,56;-7,51
1623336200000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,34;6,38;-20,66;-7,6
1623336200000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,37;6,41;-20,63;-7,57
1623336201000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,42;6,45;-20,58;-7,53
1623336201000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,4;6,43;-20,6;-7,55
1623336202000000000;20210610_1623336168;IMMERSION_FURIOS_VPV_VTX_V2;5865;25,0;13,98;Teststand, manuelle Einstellungen;4,42;6,45;-20,58;-7,53
