TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622898979000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;84,07;19,25;59,07;5,27
1622898979000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,77;19,23;58,77;5,25
1622898980000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,72;19,23;58,72;5,25
1622898980000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,59;19,22;58,59;5,24
1622898980000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,31;19,21;58,31;5,23
1622898981000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,17;19,2;58,17;5,22
1622898981000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,04;19,19;58,04;5,21
1622898982000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,06;19,19;58,06;5,21
1622898982000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,7;19,17;57,7;5,2
1622898982000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,25;19,15;57,25;5,17
1622898983000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,08;19,14;57,08;5,16
1622898983000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,08;19,14;57,08;5,16
1622898984000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,05;19,14;57,05;5,16
1622898984000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;81,7;19,12;56,7;5,14
1622898984000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;81,65;19,12;56,65;5,14
1622898985000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;81,29;19,1;56,29;5,12
1622898985000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;81,0;19,08;56,0;5,11
1622898986000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;80,89;19,08;55,89;5,1
1622898986000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;80,84;19,08;55,84;5,1
1622898986000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;80,49;19,06;55,49;5,08
1622898987000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;80,57;19,06;55,57;5,08
1622898987000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;80,29;19,05;55,29;5,07
1622898987000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,86;19,02;54,86;5,04
1622898988000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,62;19,01;54,62;5,03
1622898988000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,45;19,0;54,45;5,02
1622898989000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,58;19,01;54,58;5,03
1622898989000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,26;18,99;54,26;5,01
1622898989000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,13;18,98;54,13;5,0
1622898990000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;79,28;18,99;54,28;5,01
1622898990000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;78,85;18,97;53,85;4,99
1622898991000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;78,71;18,96;53,71;4,98
1622898961000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;97,05;19,87;72,05;5,89
1622898962000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;96,12;19,83;71,12;5,85
1622898963000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;95,93;19,82;70,93;5,84
1622898963000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;95,55;19,8;70,55;5,82
1622898963000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;95,14;19,78;70,14;5,8
1622898964000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;94,95;19,77;69,95;5,8
1622898964000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;94,42;19,75;69,42;5,77
1622898964000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;94,03;19,73;69,03;5,75
1622898965000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;93,8;19,72;68,8;5,74
1622898965000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;93,59;19,71;68,59;5,73
1622898966000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;93,2;19,69;68,2;5,71
1622898966000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,82;19,68;67,82;5,7
1622898966000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,79;19,67;67,79;5,7
1622898967000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,45;19,66;67,45;5,68
1622898967000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,19;19,65;67,19;5,67
1622898968000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;91,82;19,63;66,82;5,65
1622898968000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;91,55;19,62;66,55;5,64
1622898968000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;91,05;19,59;66,05;5,61
1622898969000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;90,98;19,59;65,98;5,61
1622898969000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;90,6;19,57;65,6;5,59
1622898969000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;90,2;19,55;65,2;5,57
1622898970000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,88;19,54;64,88;5,56
1622898970000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,65;19,53;64,65;5,55
1622898971000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,57;19,52;64,57;5,54
1622898971000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,18;19,5;64,18;5,52
1622898971000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,03;19,5;64,03;5,52
1622898972000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,77;19,48;63,77;5,5
1622898972000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,48;19,47;63,48;5,49
1622898973000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,31;19,46;63,31;5,48
1622898973000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,13;19,45;63,13;5,47
1622898973000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;87,48;19,42;62,48;5,44
1622898974000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;87,25;19,41;62,25;5,43
1622898974000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;87,06;19,4;62,06;5,42
1622898975000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;86,88;19,39;61,88;5,41
1622898975000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;86,6;19,38;61,6;5,4
1622898975000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;86,36;19,36;61,36;5,38
1622898976000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;86,09;19,35;61,09;5,37
1622898976000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;85,89;19,34;60,89;5,36
1622898977000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;85,66;19,33;60,66;5,35
1622898977000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;85,29;19,31;60,29;5,33
1622898977000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;85,11;19,3;60,11;5,32
1622898978000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;85,04;19,3;60,04;5,32
1622898978000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;84,5;19,27;59,5;5,29
1622898979000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;84,22;19,25;59,22;5,27
1622898979000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;84,07;19,25;59,07;5,27
1622898979000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,77;19,23;58,77;5,25
1622898980000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,72;19,23;58,72;5,25
1622898980000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,59;19,22;58,59;5,24
1622898980000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,31;19,21;58,31;5,23
1622898981000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,17;19,2;58,17;5,22
1622898981000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,04;19,19;58,04;5,21
1622898982000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;83,06;19,19;58,06;5,21
1622898982000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,7;19,17;57,7;5,2
1622898982000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,25;19,15;57,25;5,17
1622898983000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;82,08;19,14;57,08;5,16
